"codigo";"descricao";"descricao_breve"
"B36";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B37";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B38";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B39";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B40";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B41";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B42";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B43";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B44";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B45";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B46";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B47";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B48";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B49";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B50";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B51";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B52";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B53";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B54";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B55";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
"B56";"Capítulo I - Algumas doenças infecciosas e parasitárias";"I.   Algumas doenças infecciosas e parasitárias"
